CUI	Uniprot_Name	Uniprot_id	Gene_name	EnsembleGeneId	TTD_id
C1423425	O11G2_HUMAN	Q8NGC1	OR11G2	ENSG00000196832	null
C1424070	HS12B_HUMAN	Q96MM6	HSPA12B	ENSG00000132622	T14071
C2240168	VWA3A_HUMAN	A6NCI4	VWA3A	ENSG00000175267	null
C2681904	KAD9_HUMAN	Q5TCS8	AK9	ENSG00000155085	null
C1416610	KCNN3_HUMAN	Q9UGI6	KCNN3	ENSG00000143603	T04388
C1539842	SPIN3_HUMAN	Q5JUX0	SPIN3	ENSG00000204271	null
null	null	null	Malaria DHOdehase	null	T01318
null	null	null	HIV PR	null	T56915
null	null	null	Influ NA	null	T31595
null	null	null	Candi TMP1	null	T52227
null	null	null	HIV IN	null	T39087
null	null	null	Influ M	null	T95678
null	null	null	Bact folP	null	T88240
C1426163	DIRA2_HUMAN	Q96HU8	DIRAS2	ENSG00000165023	null
null	null	null	MUT	null	T15569
null	null	null	HCV NS3	null	T40492
C1413508	CLPX_HUMAN	O76031	CLPX	ENSG00000166855	null
C1418534	KPBB_HUMAN	Q93100	PHKB	ENSG00000102893	null
null	null	null	HCV NS5B	null	T05152
C1428630	TPRN_HUMAN	Q4KMQ1	TPRN	ENSG00000176058	null
C1427627	K0319_HUMAN	Q5VV43	KIAA0319	ENSG00000137261	null
C1428457	MSPD1_HUMAN	Q9UJG1	MOSPD1	ENSG00000101928	null
C1427822	KR105_HUMAN	P60370	KRTAP10-5	ENSG00000241123	null
C1825878	LRC8C_HUMAN	Q8TDW0	LRRC8C	ENSG00000171488	null
C1423137	OR2T4_HUMAN	Q8NH00	OR2T4	ENSG00000196944	null
C1366563	TFF1_HUMAN	P04155	TFF1	ENSG00000160182	T38159
C1424794	LOXL4_HUMAN	Q96JB6	LOXL4	ENSG00000138131	null
C1336677	TRRAP_HUMAN	Q9Y4A5	TRRAP	ENSG00000196367	null
C1421566	ZAN_HUMAN	Q9Y493	ZAN	ENSG00000146839	null
C1427475	AACS_HUMAN	Q86V21	AACS	ENSG00000081760	null
C1539266	DEGS2_HUMAN	Q6QHC5	DEGS2	ENSG00000168350	null
C1423550	LPAR6_HUMAN	P43657	LPAR6	ENSG00000139679	T13484
C1825392	GON4L_HUMAN	Q3T8J9	GON4L	ENSG00000116580	null
C1428331	TSPY2_HUMAN	A6NKD2	TSPY2	ENSG00000168757	null
C1429021	ZBT10_HUMAN	Q96DT7	ZBTB10	ENSG00000205189	null
C1822714	SHRPN_HUMAN	Q9H0F6	SHARPIN	ENSG00000179526	null
C1540173	VCIP1_HUMAN	Q96JH7	VCPIP1	ENSG00000175073	null
C1416178	KV107_HUMAN	P01599	IGKV1-17	ENSG00000240382	null
C1428797	KDM4B_HUMAN	O94953	KDM4B	ENSG00000127663	null
C1826717	PRR13_HUMAN	Q9NZ81	PRR13	ENSG00000205352	null
C1415485	HBG1_HUMAN	P69891	HBG1	ENSG00000213934	null
C1414292	EF1D_HUMAN	P29692	EEF1D	ENSG00000104529	null
C1824009	Z705F_HUMAN	A8MVS1	null	null	null
C1419255	RAMP2_HUMAN	O60895	RAMP2	ENSG00000131477	null
C1824956	DOHH_HUMAN	Q9BU89	DOHH	ENSG00000129932	null
C1824719	CE152_HUMAN	O94986	CEP152	ENSG00000103995	null
C1334111	IL1A_HUMAN	P01583	IL1A	ENSG00000115008	T16340
C2681327	CC151_HUMAN	A5D8V7	CCDC151	ENSG00000198003	null
C1415140	GNA14_HUMAN	O95837	GNA14	ENSG00000156049	null
C1423654	PHC3_HUMAN	Q8NDX5	PHC3	ENSG00000173889	null
C1414119	DNM1L_HUMAN	O00429	DNM1L	ENSG00000087470	null
C1420086	NTCP_HUMAN	Q14973	SLC10A1	ENSG00000100652	T99189,T71907
C1420236	NHRF1_HUMAN	O14745	SLC9A3R1	ENSG00000109062	null
C1422280	LY65C_HUMAN	Q5SRR4	LY6G5C	ENSG00000204428	null
C1442506	MTR1B_HUMAN	P49286	MTNR1B	ENSG00000134640	T48268
C2681481	FA156_HUMAN	Q8NDB6	FAM156A,FAM156B	ENSG00000179304	null
C2829371	F192A_HUMAN	Q9GZU8	PSME3IP1	ENSG00000172775	null
C1423262	OR4CC_HUMAN	Q96R67	OR4C12	ENSG00000221954	null
C1418879	PRDX1_HUMAN	Q06830	PRDX1	ENSG00000117450	null
C1422291	EGFL8_HUMAN	Q99944	EGFL8	ENSG00000241404	null
C1825117	FA58A_HUMAN	Q8N1B3	CCNQ	ENSG00000262919	null
C1826348	PNCB_HUMAN	Q6XQN6	NAPRT	ENSG00000147813	null
C1335290	PURA_HUMAN	Q00577	PURA	ENSG00000185129	null
C1420488	CENPX_HUMAN	A8MT69	CENPX	ENSG00000169689	null
C1421903	CABP8_HUMAN	Q9BXU9	CALN1	ENSG00000183166	null
C1420492	CHIP_HUMAN	Q9UNE7	STUB1	ENSG00000103266	null
C1419630	RL13A_HUMAN	P40429	RPL13A	ENSG00000142541	null
C1413685	CPSF2_HUMAN	Q9P2I0	CPSF2	ENSG00000165934	null
C1414156	DSC1_HUMAN	Q08554	DSC1	ENSG00000134765	null
C1412294	AHRR_HUMAN	A9YTQ3	AHRR	ENSG00000286169	null
C1539574	GLIS3_HUMAN	Q8NEA6	GLIS3	ENSG00000107249	null
C1412186	ADA17_HUMAN	P78536	ADAM17	ENSG00000151694	T82393
C1823339	TMM78_HUMAN	Q5T7P6	null	ENSG00000177800	null
C1420216	SC6A6_HUMAN	P31641	SLC6A6	ENSG00000131389	null
C1824549	CCD24_HUMAN	Q8N4L8	CCDC24	ENSG00000159214	null
C4085170	CI117_HUMAN	Q5JU67	CFAP157	ENSG00000160401	null
C1825991	MIER1_HUMAN	Q8N108	MIER1	ENSG00000198160	null
C1421387	UBP10_HUMAN	Q14694	USP10	ENSG00000103194	T73582
C1421920	ERO1A_HUMAN	Q96HE7	ERO1A	ENSG00000197930	null
C1423103	SNX12_HUMAN	Q9UMY4	SNX12	ENSG00000147164	null
C1428890	SMS1_HUMAN	Q86VZ5	SGMS1	ENSG00000198964	null
C1424552	N2DL4_HUMAN	Q8TD07	RAET1E	ENSG00000164520	null
C1421246	TXK_HUMAN	P42681	TXK	ENSG00000074966	T32590
C1539903	SVEP1_HUMAN	Q4LDE5	SVEP1	ENSG00000165124	null
C1425934	THTPA_HUMAN	Q9BU02	THTPA	ENSG00000259431	null
C1418457	PENK_HUMAN	P01210	PENK	ENSG00000181195	null
C2681239	ZBED8_HUMAN	Q8IZ13	ZBED8	ENSG00000221886	null
C2829213	ZAR1L_HUMAN	A6NP61	ZAR1L	ENSG00000189167	null
C1413410	ACHB4_HUMAN	P30926	CHRNB4	ENSG00000117971	T73724
C1427147	ZN429_HUMAN	Q86V71	ZNF429	ENSG00000197013	null
C1333327	TYPH_HUMAN	P19971	TYMP	ENSG00000025708	T59929
C1418866	PRP1_HUMAN	P04280	null	ENSG00000251655	null
C1418482	PROP_HUMAN	P27918	CFP	ENSG00000126759	T08029
C1332426	BMP5_HUMAN	P22003	BMP5	ENSG00000112175	null
C1537388	HSPB6_HUMAN	O14558	HSPB6	ENSG00000004776	null
C1415694	HPCL1_HUMAN	P37235	HPCAL1	ENSG00000115756	null
C1537922	MKL2_HUMAN	Q9ULH7	MRTFB	ENSG00000186260	null
C1825097	PR15L_HUMAN	Q9BU68	PRR15L	ENSG00000167183	null
C1418667	PLXC1_HUMAN	O60486	PLXNC1	ENSG00000136040	null
C1426771	CA2D4_HUMAN	Q7Z3S7	CACNA2D4	ENSG00000151062	null
C3891353	CU054_HUMAN	A6NM66	null	ENSG00000229086	null
C1823439	TM175_HUMAN	Q9BSA9	TMEM175	ENSG00000127419	null
C1539685	RPRM_HUMAN	Q9NS64	RPRM	ENSG00000177519	null
C1417177	MKRN1_HUMAN	Q9UHC7	MKRN1	ENSG00000133606	T86877
C1425096	AMOL2_HUMAN	Q9Y2J4	AMOTL2	ENSG00000114019	null
C1416588	KCNJ6_HUMAN	P48051	KCNJ6	ENSG00000157542	T17721
C1539945	TCAL7_HUMAN	Q9BRU2	TCEAL7	ENSG00000182916	null
C1416943	LYPA1_HUMAN	O75608	LYPLA1	ENSG00000120992	null
C1413043	CAH2_HUMAN	P00918	CA2	ENSG00000104267	T20401
C2681556	GRCR2_HUMAN	A6NFK2	GRXCR2	ENSG00000204928	null
C1825889	LRC42_HUMAN	Q9Y546	LRRC42	ENSG00000116212	null
C1412684	VATG1_HUMAN	O75348	ATP6V1G1	ENSG00000136888	null
C1428332	CTIF_HUMAN	O43310	CTIF	ENSG00000134030	null
C2239639	KR198_HUMAN	Q3LI54	KRTAP19-8	ENSG00000206102	null
C1416544	KCA10_HUMAN	Q16322	KCNA10	ENSG00000143105	T31882
C1427569	RFX6_HUMAN	Q8HWS3	RFX6	ENSG00000185002	null
C1824012	ZN708_HUMAN	P17019	ZNF708	ENSG00000182141	null
C1423510	AUXI_HUMAN	O75061	DNAJC6	ENSG00000116675	null
C1823186	AMGO3_HUMAN	Q86WK7	AMIGO3	ENSG00000176020	null
C1422818	DSCL1_HUMAN	Q8TD84	DSCAML1	ENSG00000177103	null
C1415666	HXB3_HUMAN	P14651	HOXB3	ENSG00000120093	null
C3146722	TEX22_HUMAN	C9J3V5	TEX22	ENSG00000226174	null
C1367710	CO5_HUMAN	P01031	C5	ENSG00000106804	T60708,T89234
C1414099	DYH2_HUMAN	Q9P225	DNAH2	ENSG00000183914	null
C1412469	APOA2_HUMAN	P02652	APOA2	ENSG00000158874	T75655
C1417003	MAP1A_HUMAN	P78559	MAP1A	ENSG00000166963	null
C1824423	CP070_HUMAN	Q9BSU1	C16orf70	ENSG00000125149	null
C1415651	TLX2_HUMAN	O43763	TLX2	ENSG00000115297	null
C1417039	METK2_HUMAN	P31153	MAT2A	ENSG00000168906	T97008
C1420484	CDKL5_HUMAN	O76039	CDKL5	ENSG00000008086	null
C1427903	RHG33_HUMAN	O14559	ARHGAP33	ENSG00000004777	null
C1428697	TR1L1_HUMAN	Q8N609	TRAM1L1	ENSG00000174599	null
C1537379	UK114_HUMAN	P52758	RIDA	ENSG00000132541	null
C1415034	GDF3_HUMAN	Q9NR23	GDF3	ENSG00000184344	null
C1826271	MORN3_HUMAN	Q6PF18	MORN3	ENSG00000139714	null
C1825819	LN28B_HUMAN	Q6ZN17	LIN28B	ENSG00000187772	null
C1823457	TP8L1_HUMAN	Q8WVP5	TNFAIP8L1	ENSG00000185361	null
C1421311	UCHL3_HUMAN	P15374	UCHL3	ENSG00000118939	T77181
C0812214	PIM1_HUMAN	P11309	PIM1	ENSG00000137193	T50594
C1969012	MPP8_HUMAN	Q99549	MPHOSPH8	ENSG00000196199	null
C1538320	BCORL_HUMAN	Q5H9F3	BCORL1	ENSG00000085185	null
C1825807	LEAP2_HUMAN	Q969E1	LEAP2	ENSG00000164406	null
C1824133	HMCES_HUMAN	Q96FZ2	HMCES	ENSG00000183624	null
C1423375	OR5MA_HUMAN	Q6IEU7	OR5M10	ENSG00000254834	null
C1413479	CLD9_HUMAN	O95484	CLDN9	ENSG00000213937	null
C1825713	KI3X1_HUMAN	Q9H7L2	null	ENSG00000104970	null
C1540051	TRML4_HUMAN	Q6UXN2	TREML4	ENSG00000188056	null
C1417706	NFIL3_HUMAN	Q16649	NFIL3	ENSG00000165030	null
C1423030	DJB12_HUMAN	Q9NXW2	DNAJB12	ENSG00000148719	null
C1413627	CORT_HUMAN	O00230	CORT	ENSG00000241563	null
C1539428	PIEZ1_HUMAN	Q92508	PIEZO1	ENSG00000103335	null
C1421146	TRIPB_HUMAN	Q15643	TRIP11	ENSG00000100815	null
C1823813	STPG1_HUMAN	Q5TH74	STPG1	ENSG00000001460	null
C1422377	RM17_HUMAN	Q9NRX2	MRPL17	ENSG00000158042	null
C1428507	ACOXL_HUMAN	Q9NUZ1	ACOXL	ENSG00000153093	null
C1826307	M4A13_HUMAN	Q5J8X5	MS4A13	ENSG00000204979	null
C1416511	ITM2A_HUMAN	O43736	ITM2A	ENSG00000078596	null
C1413447	CLCA1_HUMAN	A8K7I4	CLCA1	ENSG00000016490	T47995
C1538601	PCGF5_HUMAN	Q86SE9	PCGF5	ENSG00000180628	null
C1416630	KHK_HUMAN	P50053	KHK	ENSG00000138030	T79326
C2239303	CL12B_HUMAN	Q2HXU8	CLEC12B	ENSG00000256660	null
C1417202	MMP13_HUMAN	P45452	MMP13	ENSG00000137745	T34296
C1423899	SELN_HUMAN	Q9NZV5	SELENON	ENSG00000162430	null
C1539908	TAAR1_HUMAN	Q96RJ0	TAAR1	ENSG00000146399	T99524
C1425313	DB128_HUMAN	Q7Z7B8	DEFB128	ENSG00000185982	null
C1367466	MSMB_HUMAN	P08118	MSMB	ENSG00000263639	T07374
C1538114	WTIP_HUMAN	A6NIX2	WTIP	ENSG00000142279	null
C1537472	CIP2A_HUMAN	Q8TCG1	CIP2A	ENSG00000163507	null
C1424808	NOE1_HUMAN	Q99784	OLFM1	ENSG00000130558	null
C1825864	LMBD1_HUMAN	Q9NUN5	LMBRD1	ENSG00000168216	null
C1426670	DDX54_HUMAN	Q8TDD1	DDX54	ENSG00000123064	null
C1970480	SY14L_HUMAN	Q58G82	null	ENSG00000215127	null
C1424011	WFD13_HUMAN	Q8IUB5	WFDC13	ENSG00000168634	null
C1423078	PP12C_HUMAN	Q9BZL4	PPP1R12C	ENSG00000125503	null
C3147059	ZN850_HUMAN	A8MQ14	ZNF850	ENSG00000267041	null
C1422285	G6B_HUMAN	O95866	MPIG6B	ENSG00000204420	null
C3147387	GOG8H_HUMAN	P0CJ92	GOLGA8H	ENSG00000261794	null
C1823919	Z3H7B_HUMAN	Q9UGR2	ZC3H7B	ENSG00000100403	null
C1419282	RGRF2_HUMAN	O14827	RASGRF2	ENSG00000113319	null
C1414035	DGKI_HUMAN	O75912	DGKI	ENSG00000157680	null
C1538692	OFUT2_HUMAN	Q9Y2G5	POFUT2	ENSG00000186866	null
C1419861	SCN3A_HUMAN	Q9NY46	SCN3A	ENSG00000153253	T76937
C1538764	RFIP1_HUMAN	Q6WKZ4	RAB11FIP1	ENSG00000156675	null
C1439333	GALE_HUMAN	Q14376	GALE	ENSG00000117308	T96014
C1428464	KBTB7_HUMAN	Q8WVZ9	KBTBD7	ENSG00000120696	null
C1418707	PNKP_HUMAN	Q96T60	PNKP	ENSG00000039650	T13319
C1538261	A16A1_HUMAN	Q8IZ83	ALDH16A1	ENSG00000161618	null
C1413665	CBPB1_HUMAN	P15086	CPB1	ENSG00000153002	T36725
C1426560	MRRP3_HUMAN	O15091	PRORP	ENSG00000100890	null
C1419753	RS9_HUMAN	P46781	RPS9	ENSG00000170889	null
C1428954	RGL1_HUMAN	Q9NZL6	RGL1	ENSG00000143344	null
C1539096	CLC4E_HUMAN	Q9ULY5	CLEC4E	ENSG00000166523	null
C1847414	ERAP1_HUMAN	Q9NZ08	ERAP1	ENSG00000164307	T72849
C1419411	RNAS6_HUMAN	Q93091	RNASE6	ENSG00000169413	null
C1415197	GPC5_HUMAN	P78333	GPC5	ENSG00000179399	null
C1336681	TSLP_HUMAN	Q969D9	TSLP	ENSG00000145777	T85857
C1538660	PKN2_HUMAN	Q16513	PKN2	ENSG00000065243	T94197
C1428077	KBP_HUMAN	Q96EK5	KIFBP	ENSG00000198954	null
C1428705	SENP5_HUMAN	Q96HI0	SENP5	ENSG00000119231	null
C1425581	UBP48_HUMAN	Q86UV5	USP48	ENSG00000090686	null
C1332100	APC2_HUMAN	O95996	APC2	ENSG00000115266	T27418
C1420529	SURF4_HUMAN	O15260	SURF4	ENSG00000148248	null
C3810296	BECN2_HUMAN	A8MW95	BECN2	ENSG00000196289	null
C1419185	QSOX1_HUMAN	O00391	QSOX1	ENSG00000116260	null
C2681301	LIAT1_HUMAN	Q6ZQX7	LIAT1	ENSG00000187624	null
C1538546	OR8U8_HUMAN	P0C7N1	null	null	null
C1425155	STEA2_HUMAN	Q8NFT2	STEAP2	ENSG00000157214	T23485
C1826566	PELI3_HUMAN	Q8N2H9	PELI3	ENSG00000174516	null
C1420229	NAC1_HUMAN	P32418	SLC8A1	ENSG00000183023	T07775
C1428438	ZN571_HUMAN	Q7Z3V5	ZNF571	ENSG00000180479	null
C2680369	D42E2_HUMAN	A6NKP2	SDR42E2	ENSG00000183921	null
C1424595	RPGF2_HUMAN	Q9Y4G8	RAPGEF2	ENSG00000109756	null
C1423760	SSBP2_HUMAN	P81877	SSBP2	ENSG00000145687	null
C1422252	MYO1G_HUMAN	B0I1T2	MYO1G	ENSG00000136286	null
C1418205	OVOL1_HUMAN	O14753	OVOL1	ENSG00000172818	null
C1418196	OTOG_HUMAN	Q6ZRI0	OTOG	ENSG00000188162	null
C1424130	TBB1_HUMAN	Q9H4B7	TUBB1	ENSG00000101162	T84397
C2240368	ADAM5_HUMAN	Q6NVV9	null	ENSG00000196115	null
C1824643	CC114_HUMAN	Q96M63	CCDC114	ENSG00000105479	null
C1825914	LS14B_HUMAN	Q9BX40	LSM14B	ENSG00000149657	null
C1413678	CPNE4_HUMAN	Q96A23	CPNE4	ENSG00000196353	null
C1419778	RYR1_HUMAN	P21817	RYR1	ENSG00000196218	T92328
C3890283	PYAS1_HUMAN	I3L0S3	null	ENSG00000261359	null
C1415935	IGHD_HUMAN	P01880	IGHD	ENSG00000211898	null
C2240367	ADAD2_HUMAN	Q8NCV1	ADAD2	ENSG00000140955	null
C1413693	CBPZ_HUMAN	Q66K79	CPZ	ENSG00000109625	null
C1538745	PTHD1_HUMAN	Q96NR3	PTCHD1	ENSG00000165186	null
C1419319	RET3_HUMAN	P10745	RBP3	ENSG00000265203	null
C1414575	ADRO_HUMAN	P22570	FDXR	ENSG00000161513	T04685
C1416956	MARCS_HUMAN	P29966	MARCKS	ENSG00000277443	T05351
C3147216	ENK21_HUMAN	P61565,P61571,P62683,P63119	null	null	null
C1422407	CNOT7_HUMAN	Q9UIV1	CNOT7	ENSG00000198791	null
C1425946	HIPK4_HUMAN	Q8NE63	HIPK4	ENSG00000160396	null
C1540142	NXNL1_HUMAN	Q96CM4	NXNL1	ENSG00000171773	null
C1420801	TSG6_HUMAN	P98066	TNFAIP6	ENSG00000123610	null
C1422577	VPS29_HUMAN	Q9UBQ0	VPS29	ENSG00000111237	null
C1366645	CD36_HUMAN	P16671	CD36	ENSG00000135218	T76286
C1824522	CK2N1_HUMAN	Q7Z7J9	CAMK2N1	ENSG00000162545	null
C1425506	ZN292_HUMAN	O60281	ZNF292	ENSG00000188994	null
C1332701	CCR6_HUMAN	P51684	CCR6	ENSG00000112486	null
C1823914	ZBT48_HUMAN	P10074	ZBTB48	ENSG00000204859	null
C1428513	ZSWM4_HUMAN	Q9H7M6	ZSWIM4	ENSG00000132003	null
C1426505	HOOK1_HUMAN	Q9UJC3	HOOK1	ENSG00000134709	null
C1420471	STK19_HUMAN	P49842	STK19	ENSG00000204344	null
C1427944	SYT14_HUMAN	Q8NB59	SYT14	ENSG00000143469	null
C1427746	PKRI1_HUMAN	Q9H875	PRKRIP1	ENSG00000128563	null
C1825308	FNIP1_HUMAN	Q8TF40	FNIP1	ENSG00000217128	null
C1332666	CASP7_HUMAN	P55210	CASP7	ENSG00000165806	T72252
C1422648	AL2SA_HUMAN	Q53TS8	C2CD6	ENSG00000155754	null
C1416009	HV101_HUMAN	P01742	IGHV1-69	ENSG00000211973	null
C2681245	BMT2_HUMAN	Q1RMZ1	BMT2	ENSG00000164603	null
C1826308	MSGN1_HUMAN	A6NI15	MSGN1	ENSG00000151379	null
C1412734	NKX32_HUMAN	P78367	NKX3-2	ENSG00000109705	null
C1425531	H1FOO_HUMAN	Q8IZA3	H1-8	ENSG00000178804	null
C1539935	TBC19_HUMAN	Q8N5T2	TBC1D19	ENSG00000109680	null
C1419701	RS12_HUMAN	P25398	RPS12	ENSG00000112306	T89215
C2680489	TM225_HUMAN	Q6GV28	TMEM225	ENSG00000204300	null
C1425880	KRA91_HUMAN	A8MXZ3	KRTAP9-1	ENSG00000240542	null
C1424580	VATF_HUMAN	Q16864	ATP6V1F	ENSG00000128524	null
C1538105	WSDU1_HUMAN	Q8N9V3	WDSUB1	ENSG00000196151	null
C1537994	NU5M_HUMAN	P03915	MT-ND5	ENSG00000198786	null
C1416546	KCNA3_HUMAN	P22001	KCNA3	ENSG00000177272	T76914
C1427416	ARI3C_HUMAN	A6NKF2	ARID3C	ENSG00000205143	null
C1420406	SRMS_HUMAN	Q9H3Y6	SRMS	ENSG00000125508	T03023
C1823229	TATD3_HUMAN	Q17R31	TATDN3	ENSG00000203705	null
C1539884	ST32C_HUMAN	Q86UX6	STK32C	ENSG00000165752	null
C1420518	ST1C4_HUMAN	O75897	SULT1C4	ENSG00000198075	null
C2240177	WDR88_HUMAN	Q6ZMY6	WDR88	ENSG00000166359	null
C0812229	WNT5A_HUMAN	P41221	WNT5A	ENSG00000114251	T13175
C1419030	PSD12_HUMAN	O00232	PSMD12	ENSG00000197170	null
C1332676	CCL11_HUMAN	P51671	CCL11	ENSG00000172156	T16888
C1425403	RAB21_HUMAN	Q9UL25	RAB21	ENSG00000080371	null
C1363878	XCL1_HUMAN	P47992	XCL1	ENSG00000143184	null
C1418735	POLK_HUMAN	Q9UBT6	POLK	ENSG00000122008	null
C1537421	DCAF6_HUMAN	Q58WW2	DCAF6	ENSG00000143164	null
C0919426	CP2E1_HUMAN	P05181	CYP2E1	ENSG00000130649	null
C1825297	FHAD1_HUMAN	B1AJZ9	FHAD1	ENSG00000142621	null
C1420291	SMD3_HUMAN	P62318	SNRPD3	ENSG00000100028	null
C1414231	RCAS1_HUMAN	O00559	EBAG9	ENSG00000147654	null
C1333903	HMGA1_HUMAN	P17096	HMGA1	ENSG00000137309	T68211
C1423300	O52B4_HUMAN	Q8NGK2	OR52B4	ENSG00000221996	null
C2681592	RA1L2_HUMAN	Q32P51	HNRNPA1L2	ENSG00000139675	null
C1825947	MABP1_HUMAN	O60336	MAPKBP1	ENSG00000137802	null
C1826653	COAC_HUMAN	Q96CD2	PPCDC	ENSG00000138621	null
C2239314	CGAT2_HUMAN	Q8N6G5	CSGALNACT2	ENSG00000169826	null
C1422182	MYOZ1_HUMAN	Q9NP98	MYOZ1	ENSG00000177791	null
C1538840	RIBC2_HUMAN	Q9H4K1	RIBC2	ENSG00000128408	null
C1428422	GOGA7_HUMAN	Q7Z5G4	GOLGA7	ENSG00000147533	null
C1422171	CAD23_HUMAN	Q9H251	CDH23	ENSG00000107736	null
C1824588	BICR1_HUMAN	Q6ZP65	BICDL1	ENSG00000135127	null
C2681629	K1549_HUMAN	Q9HCM3	KIAA1549	ENSG00000122778	null
C3813423	P23D2_HUMAN	P0DMB1	PRR23D2	ENSG00000255378	null
C1416102	HV207_HUMAN	P01825	IGHV4-59	ENSG00000224373	null
C1539018	EDRF1_HUMAN	Q3B7T1	EDRF1	ENSG00000107938	null
C1421824	ZNF70_HUMAN	Q9UC06	ZNF70	ENSG00000187792	null
C1414685	FOXM1_HUMAN	Q08050	FOXM1	ENSG00000111206	T85273
C1426507	MMRN2_HUMAN	Q9H8L6	MMRN2	ENSG00000173269	null
C1539474	FA63A_HUMAN	Q8N5J2	MINDY1	ENSG00000143409	null
C1538629	PHAR3_HUMAN	Q96KR7	PHACTR3	ENSG00000087495	null
C1422770	ARHGB_HUMAN	O15085	ARHGEF11	ENSG00000132694	null
C1423208	O13J1_HUMAN	Q8NGT2	OR13J1	ENSG00000168828	null
C1418010	OR1P1_HUMAN	Q8NH06	null	ENSG00000262085	null
C1422539	CRLF2_HUMAN	Q9HC73	CRLF2	ENSG00000205755	T53669
C1425128	STK38_HUMAN	Q15208	STK38	ENSG00000112079	T03581
C1420785	TMPS4_HUMAN	Q9NRS4	TMPRSS4	ENSG00000137648	null
C1425624	TXIP1_HUMAN	Q2TAA8	TSNAXIP1	ENSG00000102904	null
C1826415	BCAM_HUMAN	P50895	BCAM	ENSG00000187244	null
C1414966	GANC_HUMAN	Q8TET4	GANC	ENSG00000214013	null
C1539052	EMC7_HUMAN	Q9NPA0	EMC7	ENSG00000134153	null
C1540260	TT39C_HUMAN	Q8N584	TTC39C	ENSG00000168234	null
C3889180	TBC3L_HUMAN	B9A6J9	TBC1D3L	ENSG00000274512	null
C1416379	ELP1_HUMAN	O95163	ELP1	ENSG00000070061	T49888
C1539498	FBX44_HUMAN	Q9H4M3	FBXO44	ENSG00000132879	null
C1428023	MUC20_HUMAN	Q8N307	MUC20	ENSG00000176945	null
C1413450	CLCN1_HUMAN	P35523	CLCN1	ENSG00000188037	T72467
C3148643	PRS56_HUMAN	P0CW18	PRSS56	ENSG00000237412	null
C1419060	PTGDS_HUMAN	P41222	PTGDS	ENSG00000107317	null
C1823281	TIPIN_HUMAN	Q9BVW5	TIPIN	ENSG00000075131	null
C1332114	MANF_HUMAN	P55145	MANF	ENSG00000145050	T62415
C1824961	DPH3B_HUMAN	Q9H4G8	null	ENSG00000233838	null
C1857831	P4K2A_HUMAN	Q9BTU6	PI4K2A	ENSG00000155252	null
C2242767	FTM_HUMAN	Q68CZ1	RPGRIP1L	ENSG00000103494	null
C1335848	SMRD2_HUMAN	Q92925	SMARCD2	ENSG00000108604	null
C1416853	DNLI3_HUMAN	P49916	LIG3	ENSG00000005156	null
C1335280	PTN11_HUMAN	Q06124	PTPN11	ENSG00000179295	T13057
C1426240	CNIH1_HUMAN	O95406	CNIH1	ENSG00000100528	null
C1825158	RMD2_HUMAN	Q96LZ7	RMDN2	ENSG00000115841	null
C2239873	RBM44_HUMAN	Q6ZP01	RBM44	ENSG00000177483	null
C1413559	CNTN1_HUMAN	Q12860	CNTN1	ENSG00000018236	T58393
C1825041	EID2B_HUMAN	Q96D98	EID2B	ENSG00000176401	null
