CUI	Uniprot_Name	Uniprot_id	Gene_name	EnsembleGeneId	TTD_id	disgenet_gene_id
C1421387	UBP10_HUMAN	Q14694	USP10	ENSG00000103194	T73582	9100
C1421920	ERO1A_HUMAN	Q96HE7	ERO1A	ENSG00000197930	null	30001
C1423103	SNX12_HUMAN	Q9UMY4	SNX12	ENSG00000147164	null	29934
C1428890	SMS1_HUMAN	Q86VZ5	SGMS1	ENSG00000198964	null	259230
C1424552	N2DL4_HUMAN	Q8TD07	RAET1E	ENSG00000164520	null	135250
C1421246	TXK_HUMAN	P42681	TXK	ENSG00000074966	T32590	7294
C1539903	SVEP1_HUMAN	Q4LDE5	SVEP1	ENSG00000165124	null	79987
C1425934	THTPA_HUMAN	Q9BU02	THTPA	ENSG00000259431	null	79178
C1418457	PENK_HUMAN	P01210	PENK	ENSG00000181195	null	5179
C2681239	ZBED8_HUMAN	Q8IZ13	ZBED8	ENSG00000221886	null	63920
C2829213	ZAR1L_HUMAN	A6NP61	ZAR1L	ENSG00000189167	null	646799
C1413410	ACHB4_HUMAN	P30926	CHRNB4	ENSG00000117971	T73724	1143
C1427147	ZN429_HUMAN	Q86V71	ZNF429	ENSG00000197013	null	353088
C1333327	TYPH_HUMAN	P19971	TYMP	ENSG00000025708	T59929	1890
C1418866	PRP1_HUMAN	P04280	null	ENSG00000251655	null	5542
C1418482	PROP_HUMAN	P27918	CFP	ENSG00000126759	T08029	5199
C1332426	BMP5_HUMAN	P22003	BMP5	ENSG00000112175	null	653
C1537388	HSPB6_HUMAN	O14558	HSPB6	ENSG00000004776	null	126393
C1415694	HPCL1_HUMAN	P37235	HPCAL1	ENSG00000115756	null	3241
C1537922	MKL2_HUMAN	Q9ULH7	MRTFB	ENSG00000186260	null	57496
C1825097	PR15L_HUMAN	Q9BU68	PRR15L	ENSG00000167183	null	79170
C1418667	PLXC1_HUMAN	O60486	PLXNC1	ENSG00000136040	null	10154
C1426771	CA2D4_HUMAN	Q7Z3S7	CACNA2D4	ENSG00000151062	null	93589
C3891353	CU054_HUMAN	A6NM66	null	ENSG00000229086	null	null
C1823439	TM175_HUMAN	Q9BSA9	TMEM175	ENSG00000127419	null	84286
C1539685	RPRM_HUMAN	Q9NS64	RPRM	ENSG00000177519	null	56475
C1417177	MKRN1_HUMAN	Q9UHC7	MKRN1	ENSG00000133606	T86877	23608
C1425096	AMOL2_HUMAN	Q9Y2J4	AMOTL2	ENSG00000114019	null	51421
C1416588	KCNJ6_HUMAN	P48051	KCNJ6	ENSG00000157542	T17721	3763
C1539945	TCAL7_HUMAN	Q9BRU2	TCEAL7	ENSG00000182916	null	56849
C1416943	LYPA1_HUMAN	O75608	LYPLA1	ENSG00000120992	null	10434
C1413043	CAH2_HUMAN	P00918	CA2	ENSG00000104267	T20401	760
C2681556	GRCR2_HUMAN	A6NFK2	GRXCR2	ENSG00000204928	null	643226
C1825889	LRC42_HUMAN	Q9Y546	LRRC42	ENSG00000116212	null	115353
C1412684	VATG1_HUMAN	O75348	ATP6V1G1	ENSG00000136888	null	9550
C1428332	CTIF_HUMAN	O43310	CTIF	ENSG00000134030	null	9811
C2239639	KR198_HUMAN	Q3LI54	KRTAP19-8	ENSG00000206102	null	null
C1416544	KCA10_HUMAN	Q16322	KCNA10	ENSG00000143105	T31882	3744
C1427569	RFX6_HUMAN	Q8HWS3	RFX6	ENSG00000185002	null	222546
C1824012	ZN708_HUMAN	P17019	ZNF708	ENSG00000182141	null	null
C1423510	AUXI_HUMAN	O75061	DNAJC6	ENSG00000116675	null	9829
C1823186	AMGO3_HUMAN	Q86WK7	AMIGO3	ENSG00000176020	null	386724
C1422818	DSCL1_HUMAN	Q8TD84	DSCAML1	ENSG00000177103	null	57453
C1415666	HXB3_HUMAN	P14651	HOXB3	ENSG00000120093	null	3213
C3146722	TEX22_HUMAN	C9J3V5	TEX22	ENSG00000226174	null	null
C1367710	CO5_HUMAN	P01031	C5	ENSG00000106804	T60708,T89234	727
C1414099	DYH2_HUMAN	Q9P225	DNAH2	ENSG00000183914	null	146754
C1412469	APOA2_HUMAN	P02652	APOA2	ENSG00000158874	T75655	336
C1417003	MAP1A_HUMAN	P78559	MAP1A	ENSG00000166963	null	4130
C1824423	CP070_HUMAN	Q9BSU1	C16orf70	ENSG00000125149	null	80262
C1415651	TLX2_HUMAN	O43763	TLX2	ENSG00000115297	null	3196
C1417039	METK2_HUMAN	P31153	MAT2A	ENSG00000168906	T97008	4144
C1420484	CDKL5_HUMAN	O76039	CDKL5	ENSG00000008086	null	6792
C1427903	RHG33_HUMAN	O14559	ARHGAP33	ENSG00000004777	null	115703
C1428697	TR1L1_HUMAN	Q8N609	TRAM1L1	ENSG00000174599	null	133022
C1537379	UK114_HUMAN	P52758	RIDA	ENSG00000132541	null	10247
C1415034	GDF3_HUMAN	Q9NR23	GDF3	ENSG00000184344	null	9573
C1826271	MORN3_HUMAN	Q6PF18	MORN3	ENSG00000139714	null	283385
C1825819	LN28B_HUMAN	Q6ZN17	LIN28B	ENSG00000187772	null	389421
C1823457	TP8L1_HUMAN	Q8WVP5	TNFAIP8L1	ENSG00000185361	null	126282
C1421311	UCHL3_HUMAN	P15374	UCHL3	ENSG00000118939	T77181	7347
C0812214	PIM1_HUMAN	P11309	PIM1	ENSG00000137193	T50594	5292
C1969012	MPP8_HUMAN	Q99549	MPHOSPH8	ENSG00000196199	null	54737
C1538320	BCORL_HUMAN	Q5H9F3	BCORL1	ENSG00000085185	null	63035
C1825807	LEAP2_HUMAN	Q969E1	LEAP2	ENSG00000164406	null	116842
C1824133	HMCES_HUMAN	Q96FZ2	HMCES	ENSG00000183624	null	56941
C1423375	OR5MA_HUMAN	Q6IEU7	OR5M10	ENSG00000254834	null	null
C1413479	CLD9_HUMAN	O95484	CLDN9	ENSG00000213937	null	9080
C1825713	KI3X1_HUMAN	Q9H7L2	null	ENSG00000104970	null	null
C1540051	TRML4_HUMAN	Q6UXN2	TREML4	ENSG00000188056	null	285852
C1417706	NFIL3_HUMAN	Q16649	NFIL3	ENSG00000165030	null	4783
C1423030	DJB12_HUMAN	Q9NXW2	DNAJB12	ENSG00000148719	null	54788
C1413627	CORT_HUMAN	O00230	CORT	ENSG00000241563	null	1325
C1539428	PIEZ1_HUMAN	Q92508	PIEZO1	ENSG00000103335	null	9780
C1421146	TRIPB_HUMAN	Q15643	TRIP11	ENSG00000100815	null	9321
C1823813	STPG1_HUMAN	Q5TH74	STPG1	ENSG00000001460	null	90529
C1422377	RM17_HUMAN	Q9NRX2	MRPL17	ENSG00000158042	null	63875
C1428507	ACOXL_HUMAN	Q9NUZ1	ACOXL	ENSG00000153093	null	55289
C1826307	M4A13_HUMAN	Q5J8X5	MS4A13	ENSG00000204979	null	null
C1416511	ITM2A_HUMAN	O43736	ITM2A	ENSG00000078596	null	9452
C1413447	CLCA1_HUMAN	A8K7I4	CLCA1	ENSG00000016490	T47995	1179
C1538601	PCGF5_HUMAN	Q86SE9	PCGF5	ENSG00000180628	null	84333
C1416630	KHK_HUMAN	P50053	KHK	ENSG00000138030	T79326	3795
C2239303	CL12B_HUMAN	Q2HXU8	CLEC12B	ENSG00000256660	null	387837
C1417202	MMP13_HUMAN	P45452	MMP13	ENSG00000137745	T34296	4322
C1423899	SELN_HUMAN	Q9NZV5	SELENON	ENSG00000162430	null	57190
C1539908	TAAR1_HUMAN	Q96RJ0	TAAR1	ENSG00000146399	T99524	134864
C1425313	DB128_HUMAN	Q7Z7B8	DEFB128	ENSG00000185982	null	245939
C1367466	MSMB_HUMAN	P08118	MSMB	ENSG00000263639	T07374	4477
C1538114	WTIP_HUMAN	A6NIX2	WTIP	ENSG00000142279	null	126374
C1537472	CIP2A_HUMAN	Q8TCG1	CIP2A	ENSG00000163507	null	57650
C1424808	NOE1_HUMAN	Q99784	OLFM1	ENSG00000130558	null	10439
C1825864	LMBD1_HUMAN	Q9NUN5	LMBRD1	ENSG00000168216	null	55788
C1426670	DDX54_HUMAN	Q8TDD1	DDX54	ENSG00000123064	null	79039
C1970480	SY14L_HUMAN	Q58G82	null	ENSG00000215127	null	null
C1424011	WFD13_HUMAN	Q8IUB5	WFDC13	ENSG00000168634	null	null
C1423078	PP12C_HUMAN	Q9BZL4	PPP1R12C	ENSG00000125503	null	54776
C3147059	ZN850_HUMAN	A8MQ14	ZNF850	ENSG00000267041	null	null
C1422285	G6B_HUMAN	O95866	MPIG6B	ENSG00000204420	null	80739
C3147387	GOG8H_HUMAN	P0CJ92	GOLGA8H	ENSG00000261794	null	null
C1823919	Z3H7B_HUMAN	Q9UGR2	ZC3H7B	ENSG00000100403	null	23264
C1419282	RGRF2_HUMAN	O14827	RASGRF2	ENSG00000113319	null	5924
C1414035	DGKI_HUMAN	O75912	DGKI	ENSG00000157680	null	9162
C1538692	OFUT2_HUMAN	Q9Y2G5	POFUT2	ENSG00000186866	null	23275
C1419861	SCN3A_HUMAN	Q9NY46	SCN3A	ENSG00000153253	T76937	6328
C1538764	RFIP1_HUMAN	Q6WKZ4	RAB11FIP1	ENSG00000156675	null	80223
C1439333	GALE_HUMAN	Q14376	GALE	ENSG00000117308	T96014	2582
C1428464	KBTB7_HUMAN	Q8WVZ9	KBTBD7	ENSG00000120696	null	84078
C1418707	PNKP_HUMAN	Q96T60	PNKP	ENSG00000039650	T13319	11284
C1538261	A16A1_HUMAN	Q8IZ83	ALDH16A1	ENSG00000161618	null	126133
C1413665	CBPB1_HUMAN	P15086	CPB1	ENSG00000153002	T36725	1360
C1426560	MRRP3_HUMAN	O15091	PRORP	ENSG00000100890	null	9692
C1419753	RS9_HUMAN	P46781	RPS9	ENSG00000170889	null	6203
C1428954	RGL1_HUMAN	Q9NZL6	RGL1	ENSG00000143344	null	23179
C1539096	CLC4E_HUMAN	Q9ULY5	CLEC4E	ENSG00000166523	null	26253
C1847414	ERAP1_HUMAN	Q9NZ08	ERAP1	ENSG00000164307	T72849	51752
C1419411	RNAS6_HUMAN	Q93091	RNASE6	ENSG00000169413	null	6039
C1415197	GPC5_HUMAN	P78333	GPC5	ENSG00000179399	null	2262
C1336681	TSLP_HUMAN	Q969D9	TSLP	ENSG00000145777	T85857	85480
C1538660	PKN2_HUMAN	Q16513	PKN2	ENSG00000065243	T94197	5586
C1428077	KBP_HUMAN	Q96EK5	KIFBP	ENSG00000198954	null	26128
C1428705	SENP5_HUMAN	Q96HI0	SENP5	ENSG00000119231	null	205564
C1425581	UBP48_HUMAN	Q86UV5	USP48	ENSG00000090686	null	84196
C1332100	APC2_HUMAN	O95996	APC2	ENSG00000115266	T27418	10297
C1420529	SURF4_HUMAN	O15260	SURF4	ENSG00000148248	null	6836
C3810296	BECN2_HUMAN	A8MW95	BECN2	ENSG00000196289	null	441925
C1419185	QSOX1_HUMAN	O00391	QSOX1	ENSG00000116260	null	5768
C2681301	LIAT1_HUMAN	Q6ZQX7	LIAT1	ENSG00000187624	null	400566
C1538546	OR8U8_HUMAN	P0C7N1	null	null	null	null
C1425155	STEA2_HUMAN	Q8NFT2	STEAP2	ENSG00000157214	T23485	261729
C1826566	PELI3_HUMAN	Q8N2H9	PELI3	ENSG00000174516	null	246330
C1420229	NAC1_HUMAN	P32418	SLC8A1	ENSG00000183023	T07775	6546
C1428438	ZN571_HUMAN	Q7Z3V5	ZNF571	ENSG00000180479	null	null
C2680369	D42E2_HUMAN	A6NKP2	SDR42E2	ENSG00000183921	null	null
C1424595	RPGF2_HUMAN	Q9Y4G8	RAPGEF2	ENSG00000109756	null	9693
C1423760	SSBP2_HUMAN	P81877	SSBP2	ENSG00000145687	null	23635
C1422252	MYO1G_HUMAN	B0I1T2	MYO1G	ENSG00000136286	null	64005
C1418205	OVOL1_HUMAN	O14753	OVOL1	ENSG00000172818	null	5017
C1418196	OTOG_HUMAN	Q6ZRI0	OTOG	ENSG00000188162	null	340990
C1424130	TBB1_HUMAN	Q9H4B7	TUBB1	ENSG00000101162	T84397	81027
C2240368	ADAM5_HUMAN	Q6NVV9	null	ENSG00000196115	null	null
C1824643	CC114_HUMAN	Q96M63	CCDC114	ENSG00000105479	null	93233
C1825914	LS14B_HUMAN	Q9BX40	LSM14B	ENSG00000149657	null	null
C1413678	CPNE4_HUMAN	Q96A23	CPNE4	ENSG00000196353	null	131034
C1419778	RYR1_HUMAN	P21817	RYR1	ENSG00000196218	T92328	6261
C3890283	PYAS1_HUMAN	I3L0S3	null	ENSG00000261359	null	null
C1415935	IGHD_HUMAN	P01880	IGHD	ENSG00000211898	null	null
C2240367	ADAD2_HUMAN	Q8NCV1	ADAD2	ENSG00000140955	null	161931
C1413693	CBPZ_HUMAN	Q66K79	CPZ	ENSG00000109625	null	8532
C1538745	PTHD1_HUMAN	Q96NR3	PTCHD1	ENSG00000165186	null	139411
C1419319	RET3_HUMAN	P10745	RBP3	ENSG00000265203	null	5949
C1414575	ADRO_HUMAN	P22570	FDXR	ENSG00000161513	T04685	2232
C1416956	MARCS_HUMAN	P29966	MARCKS	ENSG00000277443	T05351	4082
C3147216	ENK21_HUMAN	P61565,P61571,P62683,P63119	null	null	null	null
C1422407	CNOT7_HUMAN	Q9UIV1	CNOT7	ENSG00000198791	null	29883
C1425946	HIPK4_HUMAN	Q8NE63	HIPK4	ENSG00000160396	null	147746
C1540142	NXNL1_HUMAN	Q96CM4	NXNL1	ENSG00000171773	null	115861
C1420801	TSG6_HUMAN	P98066	TNFAIP6	ENSG00000123610	null	7130
C1422577	VPS29_HUMAN	Q9UBQ0	VPS29	ENSG00000111237	null	51699
C1366645	CD36_HUMAN	P16671	CD36	ENSG00000135218	T76286	948
C1824522	CK2N1_HUMAN	Q7Z7J9	CAMK2N1	ENSG00000162545	null	55450
C1425506	ZN292_HUMAN	O60281	ZNF292	ENSG00000188994	null	23036
C1332701	CCR6_HUMAN	P51684	CCR6	ENSG00000112486	null	1235
C1823914	ZBT48_HUMAN	P10074	ZBTB48	ENSG00000204859	null	3104
C1428513	ZSWM4_HUMAN	Q9H7M6	ZSWIM4	ENSG00000132003	null	65249
C1426505	HOOK1_HUMAN	Q9UJC3	HOOK1	ENSG00000134709	null	51361
C1420471	STK19_HUMAN	P49842	STK19	ENSG00000204344	null	8859
C1427944	SYT14_HUMAN	Q8NB59	SYT14	ENSG00000143469	null	255928
C1427746	PKRI1_HUMAN	Q9H875	PRKRIP1	ENSG00000128563	null	null
C1825308	FNIP1_HUMAN	Q8TF40	FNIP1	ENSG00000217128	null	96459
C1332666	CASP7_HUMAN	P55210	CASP7	ENSG00000165806	T72252	840
C1422648	AL2SA_HUMAN	Q53TS8	C2CD6	ENSG00000155754	null	151254
C1416009	HV101_HUMAN	P01742	IGHV1-69	ENSG00000211973	null	null
C2681245	BMT2_HUMAN	Q1RMZ1	BMT2	ENSG00000164603	null	null
C1826308	MSGN1_HUMAN	A6NI15	MSGN1	ENSG00000151379	null	343930
C1412734	NKX32_HUMAN	P78367	NKX3-2	ENSG00000109705	null	579
C1425531	H1FOO_HUMAN	Q8IZA3	H1-8	ENSG00000178804	null	132243
C1539935	TBC19_HUMAN	Q8N5T2	TBC1D19	ENSG00000109680	null	55296
C1419701	RS12_HUMAN	P25398	RPS12	ENSG00000112306	T89215	6206
C2680489	TM225_HUMAN	Q6GV28	TMEM225	ENSG00000204300	null	338661
C1425880	KRA91_HUMAN	A8MXZ3	KRTAP9-1	ENSG00000240542	null	null
C1424580	VATF_HUMAN	Q16864	ATP6V1F	ENSG00000128524	null	9296
C1538105	WSDU1_HUMAN	Q8N9V3	WDSUB1	ENSG00000196151	null	null
C1537994	NU5M_HUMAN	P03915	MT-ND5	ENSG00000198786	null	4540
C1416546	KCNA3_HUMAN	P22001	KCNA3	ENSG00000177272	T76914	3738
C1427416	ARI3C_HUMAN	A6NKF2	ARID3C	ENSG00000205143	null	null
C1420406	SRMS_HUMAN	Q9H3Y6	SRMS	ENSG00000125508	T03023	6725
C1823229	TATD3_HUMAN	Q17R31	TATDN3	ENSG00000203705	null	null
C1539884	ST32C_HUMAN	Q86UX6	STK32C	ENSG00000165752	null	282974
C1420518	ST1C4_HUMAN	O75897	SULT1C4	ENSG00000198075	null	null
C2240177	WDR88_HUMAN	Q6ZMY6	WDR88	ENSG00000166359	null	126248
C0812229	WNT5A_HUMAN	P41221	WNT5A	ENSG00000114251	T13175	7474
C1419030	PSD12_HUMAN	O00232	PSMD12	ENSG00000197170	null	5718
C1332676	CCL11_HUMAN	P51671	CCL11	ENSG00000172156	T16888	6356
C1425403	RAB21_HUMAN	Q9UL25	RAB21	ENSG00000080371	null	23011
C1363878	XCL1_HUMAN	P47992	XCL1	ENSG00000143184	null	6375
C1418735	POLK_HUMAN	Q9UBT6	POLK	ENSG00000122008	null	51426
C1537421	DCAF6_HUMAN	Q58WW2	DCAF6	ENSG00000143164	null	55827
C0919426	CP2E1_HUMAN	P05181	CYP2E1	ENSG00000130649	null	1571
C1825297	FHAD1_HUMAN	B1AJZ9	FHAD1	ENSG00000142621	null	114827
C1420291	SMD3_HUMAN	P62318	SNRPD3	ENSG00000100028	null	6634
C1414231	RCAS1_HUMAN	O00559	EBAG9	ENSG00000147654	null	9166
C1333903	HMGA1_HUMAN	P17096	HMGA1	ENSG00000137309	T68211	3159
C1423300	O52B4_HUMAN	Q8NGK2	OR52B4	ENSG00000221996	null	143496
C2681592	RA1L2_HUMAN	Q32P51	HNRNPA1L2	ENSG00000139675	null	null
C1825947	MABP1_HUMAN	O60336	MAPKBP1	ENSG00000137802	null	23005
C1826653	COAC_HUMAN	Q96CD2	PPCDC	ENSG00000138621	null	60490
C2239314	CGAT2_HUMAN	Q8N6G5	CSGALNACT2	ENSG00000169826	null	55454
C1422182	MYOZ1_HUMAN	Q9NP98	MYOZ1	ENSG00000177791	null	58529
C1538840	RIBC2_HUMAN	Q9H4K1	RIBC2	ENSG00000128408	null	26150
C1428422	GOGA7_HUMAN	Q7Z5G4	GOLGA7	ENSG00000147533	null	51125
C1422171	CAD23_HUMAN	Q9H251	CDH23	ENSG00000107736	null	64072
C1824588	BICR1_HUMAN	Q6ZP65	BICDL1	ENSG00000135127	null	null
C2681629	K1549_HUMAN	Q9HCM3	KIAA1549	ENSG00000122778	null	57670
C3813423	P23D2_HUMAN	P0DMB1	PRR23D2	ENSG00000255378	null	null
C1416102	HV207_HUMAN	P01825	IGHV4-59	ENSG00000224373	null	null
C1539018	EDRF1_HUMAN	Q3B7T1	EDRF1	ENSG00000107938	null	26098
C1421824	ZNF70_HUMAN	Q9UC06	ZNF70	ENSG00000187792	null	7621
C1414685	FOXM1_HUMAN	Q08050	FOXM1	ENSG00000111206	T85273	2305
C1426507	MMRN2_HUMAN	Q9H8L6	MMRN2	ENSG00000173269	null	79812
C1539474	FA63A_HUMAN	Q8N5J2	MINDY1	ENSG00000143409	null	55793
C1538629	PHAR3_HUMAN	Q96KR7	PHACTR3	ENSG00000087495	null	116154
C1422770	ARHGB_HUMAN	O15085	ARHGEF11	ENSG00000132694	null	9826
C1423208	O13J1_HUMAN	Q8NGT2	OR13J1	ENSG00000168828	null	392309
C1418010	OR1P1_HUMAN	Q8NH06	null	ENSG00000262085	null	null
C1422539	CRLF2_HUMAN	Q9HC73	CRLF2	ENSG00000205755	T53669	64109
C1425128	STK38_HUMAN	Q15208	STK38	ENSG00000112079	T03581	11329
C1420785	TMPS4_HUMAN	Q9NRS4	TMPRSS4	ENSG00000137648	null	56649
C1425624	TXIP1_HUMAN	Q2TAA8	TSNAXIP1	ENSG00000102904	null	55815
